"timestamp","id device","error","num of message","previous timestamp difference","previous timestamp difference for this device"
"1802137524","00440121","0","111","3405432","6999616.0"
"1809138148","","1","","7000624",""
"1816137756","","1","","6999608",""
"1823138388","","1","","7000632",""
"1830139012","00440121","0","115","7000624","9333829.333333334"
"1837138636","00440121","0","116","6999624",""
"1844138284","00440121","0","117","6999648",""
"1851137900","00440121","0","118","6999616",""
"1858138508","00440121","0","119","7000608",""
"1865139116","00440121","0","120","7000608",""
"1872139748","00440121","0","121","7000632",""
"1879139364","00440121","0","122","6999616",""
"1886139988","00440121","0","123","7000624",""
"1893139628","00440121","0","124","6999640",""
"1898851860","0063013D","0","0","5712232","7151412.0"
"1902857548","0063013D","0","1","4005688",""
"1907139868","00440121","0","126","4282320","7000120.0"
"1909857252","0063013D","0","2","2717384","6999704.0"
"1914139484","00440121","0","127","4282232","6999616.0"
"1916856956","0063013D","0","3","2717472","6999704.0"
"1921140116","00440121","0","128","4283160","7000632.0"
"1923856652","0063013D","0","4","2716536","6999696.0"
"1928139748","00440121","0","129","4283096","6999632.0"
"1930855372","0063013D","0","5","2715624","6998720.0"
"1935139364","00440121","0","130","4283992","6999616.0"
"1942139996","00440121","0","131","7000632",""
"1949139604","00440121","0","132","6999608",""
"1956140228","00440121","0","133","7000624",""
"1961580636","0063013D","0","0","5440408","7681316.0"
"1963139868","00440121","0","134","1559232","6999640.0"
"1965586332","0063013D","0","1","2446464","4005696.0"
"1970139508","00440121","0","135","4553176","6999640.0"
"1972586028","0063013D","0","2","2446520","6999696.0"
"1977139124","00440121","0","136","4553096","6999616.0"
"1979585732","0063013D","0","3","2446608","6999704.0"
"1984139732","00440121","0","137","4554000","7000608.0"
"1986585436","0063013D","0","4","2445704","6999704.0"
"1991140356","00440121","0","138","4554920","7000624.0"
"1993584172","0063013D","0","5","2443816","6998736.0"
"1998139972","00440121","0","139","4555800","6999616.0"
"2000583876","","1","","2443904",""
"2005140604","00440121","0","140","4556728","7000632.0"
"2012140236","00440121","0","141","6999632",""
"2013883100","0063013D","0","0","1742864","5074732.0"
"2017888804","0063013D","0","1","4005704",""
"2024888500","0063013D","0","2","6999696",""
"2031888196","0063013D","0","3","6999696",""
"2038887908","0063013D","0","4","6999712",""
"2045887604","0063013D","0","5","6999696",""
"2052887308","0063013D","0","6","6999704",""
"2059887012","0063013D","0","7","6999704",""
"2066886716","0063013D","0","8","6999704",""
"2073886420","0063013D","0","9","6999704",""
"2080886116","0063013D","0","10","6999696",""
"2087885820","0063013D","0","11","6999704",""
"2094885532","0063013D","0","12","6999712",""
"2101885220","0063013D","0","13","6999688",""
"2108884924","0063013D","0","14","6999704",""
"2115884636","0063013D","0","15","6999712",""
"2122883364","0063013D","0","16","6998728",""
"2129883052","","1","","6999688",""
"2138140484","00440121","0","159","8257432","7000013.777777778"
"2145140116","00440121","0","160","6999632",""
"2152139748","00440121","0","161","6999632",""
"2159139388","00440121","0","162","6999640",""
"2166139004","00440121","0","163","6999616",""
"2173138652","00440121","0","164","6999648",""
"2216187308","0169082D","0","0","43048656",""
"2220192988","0169082D","0","1","4005680",""
"2227192660","0169082D","0","2","6999672",""
"2234192340","0169082D","0","3","6999680",""
"2238008308","00440121","0","0","3815968","16217414.0"
"2241192004","","1","","3183696",""
"2248191684","","1","","6999680",""
"2255191364","","1","","6999680",""
"2262191052","","1","","6999688",""
"2269190732","","1","","6999680",""
"2276190428","","1","","6999696",""
"2283190100","","1","","6999672",""
"2290189772","","1","","6999672",""
"2297189452","","1","","6999680",""
"2304189148","0169082D","0","13","6999696","6999680.8"
"2311188828","0169082D","0","14","6999680",""
"2318188508","0169082D","0","15","6999680",""
"2325188196","0169082D","0","16","6999688",""
"2332187860","","1","","6999664",""
"2336841988","00440121","0","1","4654128","7059548.571428572"
"2339187556","0169082D","0","18","2345568","6999680.0"
"2343841620","00440121","0","2","4654064","6999632.0"
"2346187236","0169082D","0","19","2345616","6999680.0"
"2350842252","00440121","0","3","4655016","7000632.0"
"2353186916","0169082D","0","20","2344664","6999680.0"
"2357841884","00440121","0","4","4654968","6999632.0"
"2360186596","0169082D","0","21","2344712","6999680.0"
"2364841524","00440121","0","5","4654928","6999640.0"
"2367186276","0169082D","0","22","2344752","6999680.0"
"2371841148","00440121","0","6","4654872","6999624.0"
"2374185964","0169082D","0","23","2344816","6999688.0"
"2378839804","","1","","4653840",""
"2381185636","0169082D","0","24","2345832","6999672.0"
"2388185316","0169082D","0","25","6999680",""
"2395184996","0169082D","0","26","6999680",""
"2397334940","00440121","0","0","2149944","5098758.4"
"2401340572","00440121","0","1","4005632",""
"2405352084","00440121","0","2","4011512",""
"2409184364","0169082D","0","28","3832280","4666456.0"
"2412351732","00440121","0","3","3167368","6999648.0"
"2416184044","0169082D","0","29","3832312","6999680.0"
"2419351364","00440121","0","4","3167320","6999632.0"
"2423183724","0169082D","0","30","3832360","6999680.0"
"2426350972","00440121","0","5","3167248","6999608.0"
"2430183404","0169082D","0","31","3832432","6999680.0"
"2437183084","0169082D","0","32","6999680",""
"2439601260","00440121","0","0","2418176","6625144.0"
"2443606908","00440121","0","1","4005648",""
"2450606564","00440121","0","2","6999656",""
"2457606180","00440121","0","3","6999616",""
"2464606788","00440121","0","4","7000608",""
"2471607396","00440121","0","5","7000608",""
"2478608028","00440121","0","6","7000632",""
"2485607660","00440121","0","7","6999632",""
"2492607292","00440121","0","8","6999632",""
"2499606916","00440121","0","9","6999624",""
"2506607540","00440121","0","10","7000624",""
"2513607172","00440121","0","11","6999632",""
"2520606788","00440121","0","12","6999616",""
"2528178932","0169082D","0","45","7572144","6999680.615384615"
"2535178612","0169082D","0","46","6999680",""
"2542178292","0169082D","0","47","6999680",""
"2549177964","0169082D","0","48","6999672",""
"2572406820","00440121","0","0","23228856","12950008.0"
"2576412484","00440121","0","1","4005664",""
"2583412116","00440121","0","2","6999632",""
"2590411756","00440121","0","3","6999640",""
"2597411388","00440121","0","4","6999632",""
